253,255,255
253,255,255
254,255,255
254,255,255
254,254,254
254,254,254
255,254,254
255,253,253
255,253,253
255,253,253
255,252,252
255,251,252
255,251,251
255,250,251
254,250,250
254,249,249
254,248,249
253,248,248
253,247,247
253,246,246
252,245,246
252,244,245
251,243,244
250,242,243
250,241,242
249,240,241
248,239,240
248,238,239
247,237,238
246,236,237
245,235,236
244,234,235
243,233,234
242,231,233
241,230,232
240,229,231
239,228,230
238,226,228
237,225,227
236,224,226
235,222,225
234,221,223
233,219,222
231,218,221
230,217,219
229,215,218
228,214,217
226,212,215
225,211,214
224,209,212
222,207,211
221,206,210
219,204,208
218,203,207
216,201,205
215,200,204
213,198,202
212,196,201
210,195,199
209,193,198
207,191,196
206,190,194
204,188,193
203,186,191
201,185,190
199,183,188
198,181,187
196,179,185
194,178,183
193,176,182
191,174,180
189,173,179
188,171,177
186,169,175
184,167,174
182,166,172
181,164,170
179,162,169
177,160,167
176,159,166
174,157,164
172,155,162
170,154,161
169,152,159
167,150,157
165,148,156
163,147,154
162,145,152
160,143,151
158,142,149
156,140,148
155,138,146
153,137,144
151,135,143
149,133,141
148,132,139
146,130,138
144,128,136
142,127,135
141,125,133
139,123,132
137,122,130
135,120,128
134,119,127
132,117,125
130,115,124
129,114,122
127,112,121
125,111,119
124,109,118
122,108,116
120,106,115
119,105,113
117,103,112
115,102,110
114,100,109
112,99,107
111,98,106
109,96,104
107,95,103
106,93,102
104,92,100
103,91,99
101,89,97
100,88,96
98,87,95
97,85,93
95,84,92
94,83,91
92,81,89
91,80,88
89,79,87
88,78,85
87,76,84
85,75,83
84,74,81
82,73,80
81,72,79
80,71,78
78,69,77
77,68,75
76,67,74
75,66,73
73,65,72
72,64,71
71,63,70
69,62,68
68,61,67
67,60,66
66,59,65
65,58,64
64,57,63
62,56,62
61,55,61
60,54,60
59,53,59
58,52,58
57,52,57
56,51,56
55,50,55
54,49,54
53,48,53
52,47,52
51,47,51
50,46,50
49,45,49
48,44,48
47,44,48
46,43,47
45,42,46
44,41,45
43,41,44
42,40,43
42,39,43
41,39,42
40,38,41
39,37,40
38,37,39
37,36,39
37,35,38
36,35,37
35,34,37
34,34,36
34,33,35
33,33,34
32,32,34
31,32,33
31,31,32
30,31,32
29,30,31
29,30,31
28,29,30
28,29,29
27,28,29
26,28,28
26,27,28
25,27,27
25,26,26
24,26,26
23,26,25
23,25,25
22,25,24
22,24,24
21,24,23
21,24,23
20,23,22
20,23,22
19,23,21
19,22,21
18,22,20
18,22,20
18,21,20
17,21,19
17,21,19
16,20,18
16,20,18
16,20,17
15,20,17
15,19,17
14,19,16
14,19,16
14,19,16
13,18,15
13,18,15
13,18,15
12,18,14
12,17,14
12,17,14
11,17,13
11,17,13
11,17,13
11,16,12
10,16,12
10,16,12
10,16,11
9,16,11
9,15,11
9,15,11
9,15,10
9,15,10
8,15,10
8,15,10
8,15,9
8,14,9
7,14,9
7,14,9
7,14,9
7,14,8
7,14,8
6,14,8
6,14,8
6,13,8
6,13,7
6,13,7
6,13,7
0,0,0
